category,words
travel,"pksg, singapore, parkoursingapore, shine, land, sky, sunrise, cyrus, brazil, sentosa, baldheadisland, lakekeowee, bermuda, hawaii, honolulu, aloha, haitian, everydayhawaii, sukabumi, snow"
travel,"rain, park, mountain, sunshine, alp, downhill, trip, adventure, sand, port, hot, cold, lake, river, cool, weather, polar, sea, camp, explore"
travel,"asda, asian, auckland, colombia, asda, asian, auckland, colombia, igexquisite, japango, melrose, nz, rcbogota, aloha, asian, baldheadisland, baseball, bermuda, bogotagrafia, bogotart"
travel,"caen, canonphotos, colombia, colombiafolklore, colombiagreatshots, colombialive, colombiaestrella, contadoraisland, cumulus, foreveronvacation, france, hawaii, honolulu, igallamericas, igcolombia, iggloballife, igpuertorico, igpuertorico, igcolombia, igersbogota"
travel,"igglobalclub, instatravel, lakekeowee, lakepowell, land, livbda, lomejordebogota, london, londres, lovesamericas, lovesbogota, lovescolombia, loveslatino, malaysian, mountainlife, mountains, nashville, nature, normandie, oceanside"
travel,"ohau, paris, pozosazules, puertorico, richmondpark, sandiego, sanjuan, scotland, sea, shine, singapore, sunset, theworldshotz, toulouse, trgoodshot, vegas, villadeleyva, visitpanama, vivecolombiaviajaporella, vsco"
travel,"wonderfulplaces, worldplaces, xtremexccessories, yoamobogota, miami, florida, sweden, seaside, malmo, beach, landscape, igposavje, stockholm, posavje, mytinyatlas, ribersborg, slovenia, skycraper, turningtorsomalm, igslovenia"
travel,"maryland, chesapeakebay, visitgcb, gunnison, crestedbutte, coloradolove, coloradotography, places, crestedbutte, coloradolive, coloradogram, livelifeproof, downtowncampbell, ocmd, shorelife, ocmd, atlanticcrew, downwinder, brscrew, oceancity"
travel,"exploreocmd, tripadvisor, certificateofexcellence, privatebeach, bestofoceancity, tours, nighttours, bay, sunset, bayside, paradise, traveltheworld, travel, traveler, solotraveler, travellife, melbourne, goldcoast, sydney, straya"
travel,"beautifulisland, laguna, bacalar, bc, costarica, nosara, beach, arenalvolcano, assateagueisland, uvita, crestedbutte, colorado, visitgcb, lakepowell, travelcrestedbutte, redrock, bridgesofthebutte, beach, beachlife, summerseason"
travel,"hossegor, sea, snowpark, prague, capezzana, tuscansun, rimini, sea, italy, spain, paris, annapolis, usa, america, yoginis, catalina, uppsala, sweden, annapolis, lululemonannapolis"
travel,"chesapeakebay, neworleans, wrightsvillebeach, oceantherapy, sweden, visitdorchester, tourmd, canadian, boglife, vegas, xslasvegas, montreal, ranchosantana, nicaragua, beach, nyc, savannah, georgia, sweden, beach"
travel,"varberg, apelviken, roadtrip, thejourney, lalife, asda, asian, auckland, colombia, igexquisite, japango, melrose, nz, rcbogota, aloha, asian, baldheadisland, baseball, bermuda, bogotagrafia"
travel,"bogotart, caen, canonphotos, colombia, colombiafolklore, colombiagreatshots, colombialive, colombiaestrella, contadoraisland, cumulus, foreveronvacation, france, hawaii, honolulu, igallamericas, igcolombia, iggloballife, igpuertorico, igpuertorico, igcolombia"
travel,"igersbogota, igglobalclub, instatravel, lakekeowee, lakepowell, land, livbda, lomejordebogota, london, londres, lovesamericas, lovesbogota, lovescolombia, loveslatino, malaysian, mountainlife, mountains, nashville, nature, normandie"
travel,"oceanside, ohau, paris, pozosazules, puertorico, richmondpark, sandiego, sanjuan, scotland, sea, shine, singapore, sunset, theworldshotz, toulouse, trgoodshot, vegas, villadeleyva, visitpanama, vivecolombiaviajaporella"
travel,"vsco, wonderfulplaces, worldplaces, xtremexccessories, yoamobogota, miami, florida, sweden, seaside, malmo, beach, landscape, igposavje, stockholm, posavje, mytinyatlas, ribersborg, slovenia, skycraper, turningtorsomalm"
travel,"igslovenia, maryland, chesapeakebay, visitgcb, gunnison, crestedbutte, coloradolove, coloradotography, places, crestedbutte, coloradolive, coloradogram, livelifeproof, downtowncampbell, ocmd, shorelife, ocmd, atlanticcrew, downwinder, brscrew"
travel,"oceancity, exploreocmd, tripadvisor, certificateofexcellence, privatebeach, bestofoceancity, tours, nighttours, bay, sunset, bayside, paradise, traveltheworld, travel, traveler, solotraveler, travellife, melbourne, goldcoast, sydney"
travel,"straya, beautifulisland, laguna, bacalar, bc, costarica, nosara, beach, arenalvolcano, assateagueisland, uvita, crestedbutte, colorado, visitgcb, lakepowell, travelcrestedbutte, redrock, bridgesofthebutte, beach, beachlife"
travel,"summerseason, hossegor, sea, snowpark, prague, capezzana, tuscansun, rimini, sea, italy, spain, paris, annapolis, usa, america, yoginis, catalina, uppsala, sweden, annapolis"
travel,"lululemonannapolis, chesapeakebay, neworleans, wrightsvillebeach, oceantherapy, sweden, visitdorchester, tourmd, canadian, boglife, vegas, xslasvegas, montreal, ranchosantana, nicaragua, beach, nyc, savannah, georgia, sweden"
travel,"beach, varberg, apelviken, roadtrip, thejourney, lalife, downtown, coral, la, wildlife, traveling, kent, tam, west, coast, lax, drive, freeway, ana, mile"
travel,"alamo, cloud, rainbow, journalism, den, north, kit, fuji, exploring, turk, heritage, crew, tala, loch, abandoned, island, roam, planet, place, outside"
travel,"out, geographic, ire, outdoors, tot, beech, location, jungle, grid, phi, hub, street, visit, destination, valley, hotel, discover, globe, wanderer, wilderness"
travel,"tower, air"
food,"food, hamburger, icecream, sushi, fruit, orange, apple, juice, organic, parrot, beer, tequila, foodporn, delicious, tasty, foodphotography, drink, berry, vodka, vegan"
food,"raw, rawfood, cook, cooker, plantbased, eat, eating, cleaneating, banana, bbq, benihana, bento, bentobox, boost, breakfast, breakfastdrink, cateringjkt, chocolate, cleaneating, diet"
food,"dietmayo, eatclean, flycookie, homechef, homecooking, homemade, instafood, jam, kong, lunchbox, morrisons, porridge, portobello, sanka, yummy, sup, farmersmarket, blueberrybuttermilkcake, getinmybelly, greenearthorganics"
food,"fruitbowl, gofruityourself, vegan, beer, banana, bbq, benihana, bento, bentobox, boost, breakfast, breakfastdrink, cateringjkt, chocolate, cleaneating, diet, dietmayo, eatclean, flycookie, homechef"
food,"homecooking, homemade, instafood, jam, kong, lunchbox, morrisons, porridge, portobello, sanka, yummy, sup, farmersmarket, blueberrybuttermilkcake, getinmybelly, greenearthorganics, fruitbowl, gofruityourself, vegan, beer"
food,"pan, ate, salt, gram, kale, oat, aa, redberry, mocha, morel, cup, pot, grain, bar, dip, mug"
fashion,"fashion, fashionblogger, nail, haitianlovecurves, style, stylish, curves, mystylishcurves, honormycurves, browngirlredlips, dollfaces, baewatch, like, makeup, instaselfie, golden, face, faces, magic, blogger"
fashion,"blog, girl, rad, beautiful, bikini, ho, stomp, lust, amazing, pow, curvygirlfever, connexion, emesession, curvygirlfever, hypebeast, monikape, ombr, shirtly, andigetdressed, baewatch"
fashion,"blackgirlmagic, blonde, blue, boldandcurvey, braid, browngirlredlips, classics, clothing, cover, curilyyours, curls, derollingporbogota, discount, dollfaces, dope, faitenfrance, fashion, fashiontime, hair, hairstyle"
fashion,"hairweave, hairwefts, haitianlovecurves, hypebeast, instagood, kinkystraight, linkinbio, linkinmybio, lively, livingfortheweekend, madeinfrance, makeup, mensfashion, mystylishcurves, nail, ootd, plussizefashionkilla, sale, salvation, solde"
fashion,"stylefilesplus, tailormade, teenwolf, thrasher, tshirt, unbotheredbellyandbellyall, verticalsuits, wig, model, instacool, teekibottoms, teekipants, tshirt, shirts, loveshirt, poloshirt, newshirt, lovethisshirt, instafashion, cuteshirt"
fashion,"shirt, blackshirt, favoriteshirt, shirtoftheday, getlostalot, connexion, emesession, curvygirlfever, hypebeast, monikape, ombr, shirtly, andigetdressed, baewatch, blackgirlmagic, blonde, blue, boldandcurvey, braid, browngirlredlips"
fashion,"classics, clothing, cover, curilyyours, curls, derollingporbogota, discount, dollfaces, dope, faitenfrance, fashion, fashiontime, hair, hairstyle, hairweave, hairwefts, haitianlovecurves, hypebeast, instagood, kinkystraight"
fashion,"linkinbio, linkinmybio, lively, livingfortheweekend, madeinfrance, makeup, mensfashion, mystylishcurves, nail, ootd, plussizefashionkilla, sale, salvation, solde, stylefilesplus, tailormade, teenwolf, thrasher, tshirt, unbotheredbellyandbellyall"
fashion,"verticalsuits, wig, model, instacool, teekibottoms, teekipants, tshirt, shirts, loveshirt, poloshirt, newshirt, lovethisshirt, instafashion, cuteshirt, shirt, blackshirt, favoriteshirt, shirtoftheday, getlostalot, amazed"
fashion,fantastic
animal,"dog, cat, bird, snack, dolphin, pig, fox, teddy, rabbit, lion, tiger, ant, elephant, fish, puppy, dingo, bluebird, animal, ret, tortoise"
animal,"chick, pet, cricket, rat, hen, kitten, male, kea, shark, snake, monkey, dogfort, cutedog, smartdog, englishcreamgoldenretriever, goldenretrieversofinstagram, dublinthegoldenretriever, goldenretriever, goldensofinstagram, dogsofinstagram"
animal,"pitbullsofinstagram, dogfort, cutedog, smartdog, englishcreamgoldenretriever, goldenretrieversofinstagram, dublinthegoldenretriever, goldenretriever, goldensofinstagram, dogsofinstagram, pitbullsofinstagram, lamb, pelican, giant, marlin, impala, deer, ani, baya, pup"
animal,"bronco, cow, owl, feline, lizard, ape, queen, fowl, human, ox, dun, mina, bruin, turkey, livestock, bear, duck, kitty, tatu, flagrant"
animal,"pilar, bug, horse, just, bull, butterfly, chub, beast, raptor, spider, wolf, reptile, magpie, redwing, jay, asp, apar, bat, stag, mount"
animal,"about, wader, alpine, husky, rhino, goat, teg, mad, cayman, beef, mammoth, squirrel, jellyfish, penguin, moke, pony, digital, orang, salmon, blackfish"
animal,"mare, yet, icy, turtledove, spearfish, creature, hippopotamus, mako, colt, raven, hare, flamingo, crocodile, spaniel, auk, anal, pug, moth"
